,test_group,test_index
4041,O1Sr1,4041
4042,O1Sr1,4042
4043,O1Sr1,4043
4044,O1Sr1,4044
4045,O1Sr1,4045
4046,O1Sr1,4046
4047,O1Sr1,4047
4048,O1Sr1,4048
4049,O1Sr1,4049
4050,O1Sr1,4050
4051,O1Sr1,4051
4052,O1Sr1,4052
4053,O1Sr1,4053
4054,O1Sr1,4054
4055,O1Sr1,4055
4056,O1Sr1,4056
4057,O1Sr1,4057
4058,O1Sr1,4058
4059,O1Sr1,4059
4060,O1Sr1,4060
4061,O1Sr1,4061
4062,O1Sr1,4062
4063,O1Sr1,4063
4064,O1Sr1,4064
4065,O1Sr1,4065
4066,O1Sr1,4066
4067,O1Sr1,4067
4068,O1Sr1,4068
4069,O1Sr1,4069
4070,O1Sr1,4070
4071,O1Sr1,4071
4072,O1Sr1,4072
4073,O1Sr1,4073
