,test_group,test_index
2402,Al1Na1O2,2402
2403,Al1Na1O2,2403
2404,Al1Na1O2,2404
2405,Al1Na1O2,2405
2406,Al1Na1O2,2406
2407,Al1Na1O2,2407
2408,Al1Na1O2,2408
2409,Al1Na1O2,2409
2410,Al1Na1O2,2410
2411,Al1Na1O2,2411
2412,Al1Na1O2,2412
2413,Al1Na1O2,2413
2414,Al1Na1O2,2414
2415,Al1Na1O2,2415
2416,Al1Na1O2,2416
2417,Al1Na1O2,2417
2418,Al1Na1O2,2418
2419,Al1Na1O2,2419
2420,Al1Na1O2,2420
2421,Al1Na1O2,2421
2422,Al1Na1O2,2422
2423,Al1Na1O2,2423
2424,Al1Na1O2,2424
2425,Al1Na1O2,2425
2426,Al1Na1O2,2426
2427,Al1Na1O2,2427
2428,Al1Na1O2,2428
2429,Al1Na1O2,2429
2430,Al1Na1O2,2430
2431,Al1Na1O2,2431
